country,continent,region,pop2018,cbr,cdr,rate_increase,net_migration,proj_pop2030,proj_pop2050,imr,tfr,gdp_pc,pct_urban,pop_density,pct_contracepting,pct_modern_contracept,p_male_hiv2017,p_female_hiv2017,e0male,e0female,e65male,e65female,plt152018,plt152050,2050 Population as a Multiple of 2018,pgt652018,pgt652050
Algeria,africa,NORTHERN AFRICA,42.7,26,4,2.2,0,51.3,64.3,22,3.1,15050,73,572,57,50,0.1,0.1,77,78,18,19,29,20,1,6,17
Egypt,africa,NORTHERN AFRICA,97,27,6,2.1,-1,120.8,166.5,15,3.4,11360,43,3350,59,57,0.1,0.1,71,74,13,15,34,25,1.3,4,11
Libya,africa,NORTHERN AFRICA,6.5,20,5,1.4,-4,7.3,8.1,22,2.3,19940,80,376,42,20,,,69,75,13,16,28,18,0.8,4,17
Morocco,africa,NORTHERN AFRICA,35.2,18,5,1.2,-2,39.3,43.6,22,2.2,8063,62,433,67,59,0.1,0.1,75,78,15,17,24,19,0.9,8,18
Sudan,africa,NORTHERN AFRICA,41.7,34,8,2.7,-2,56.8,88.1,45,4.7,4482,36,210,12,12,0.2,0.2,63,66,14,15,41,31,1.6,4,6
Tunisia,africa,NORTHERN AFRICA,11.6,19,6,1.4,0,12.7,13.8,15,2.3,11490,68,399,63,51,0.1,0.1,75,78,15,18,24,18,0.9,8,20
Western Sahara,africa,NORTHERN AFRICA,0.6,20,5,1.5,7,0.7,0.9,30,2.3,,87,14150,,,,,68,72,13,15,28,20,1.1,3,12
Benin,africa,WESTERN AFRICA,11.5,37,9,2.8,0,15.6,23.9,63,5,2260,45,425,18,13,0.7,1.3,59,62,13,14,43,34,1.6,3,5
Burkina Faso,africa,WESTERN AFRICA,20.3,40,9,3.1,-1,28.9,48.5,57,5.5,1810,29,338,32,30,0.6,1,60,61,12,12,47,35,1.8,3,4
Cabo Verde,africa,WESTERN AFRICA,0.6,19,5,1.4,-3,0.6,0.6,21,2.2,6570,66,1101,61,57,0.5,0.7,71,75,14,16,31,19,0.7,4,12
Côte d'Ivoire,africa,WESTERN AFRICA,24.9,35,12,2.3,0,33.3,51.4,62,4.6,3820,51,859,24,19,1.9,3.7,52,55,11,12,43,35,1.7,3,4
Gambia,africa,WESTERN AFRICA,2.2,39,8,3.1,-1,3.1,5,46,5.4,1670,61,494,9,8,1.4,1.9,60,63,12,13,46,33,1.7,2,4
Ghana,africa,WESTERN AFRICA,29.5,30,8,2.2,-1,37.3,51.3,37,3.9,4490,56,627,33,27,1,2.3,62,64,12,13,39,30,1.3,3,6
Guinea,africa,WESTERN AFRICA,11.9,39,11,2.8,-2,16.3,25.3,68,4.8,2270,35,383,9,8,1.1,1.9,58,61,12,12,45,33,1.5,4,5
Guinea-Bissau,africa,WESTERN AFRICA,1.9,36,11,2.6,-1,2.5,3.6,73,4.6,1700,43,636,16,14,2.6,4.1,56,59,12,12,42,32,1.4,3,5
Liberia,africa,WESTERN AFRICA,4.9,33,8,2.5,-1,6.5,9.8,50,4.2,710,51,971,31,31,1,1.8,62,64,12,13,42,32,1.6,3,5
Mali,africa,WESTERN AFRICA,19.4,45,10,3.5,-4,27.5,44.8,56,6,2160,42,303,16,15,0.9,1.6,58,62,12,12,47,36,1.8,2,4
Mauritania,africa,WESTERN AFRICA,4.5,34,8,2.6,1,6.1,9,65,4.6,3900,54,1009,18,16,0.4,0.3,62,65,12,13,40,32,1.6,3,6
Niger,africa,WESTERN AFRICA,22.2,48,10,3.8,0,34,63.1,60,7.2,990,16,132,19,18,0.3,0.3,59,61,12,13,50,43,2.4,3,3
Nigeria,africa,WESTERN AFRICA,195.9,39,12,2.6,0,264.1,410.6,67,5.5,5680,50,576,24,16,2.5,3,53,54,11,11,44,35,1.7,3,4
Senegal,africa,WESTERN AFRICA,16.3,33,6,2.7,-1,22.1,34,42,4.6,2620,46,509,28,26,0.3,0.6,65,69,13,14,43,33,1.6,3,5
Sierra Leone,africa,WESTERN AFRICA,7.7,33,13,2,-1,9.7,13,84,4.2,1480,41,487,17,16,1.1,1.6,51,52,10,10,42,29,1.2,3,5
Togo,africa,WESTERN AFRICA,8,34,9,2.5,0,10.5,15.3,52,4.5,1620,42,302,20,17,1.5,2.7,59,61,12,12,42,32,1.5,3,5
Burundi,africa,EASTERN AFRICA,11.8,41,11,3,0,17.2,30.4,47,5.5,770,13,987,29,23,0.8,1.4,59,62,13,14,46,36,2.1,2,4
Comoros,africa,EASTERN AFRICA,0.8,33,7,2.5,-2,1.1,1.5,55,4.3,1570,29,1281,19,14,0.1,0.1,62,65,12,14,40,30,1.3,3,6
Djibouti,africa,EASTERN AFRICA,1,23,8,1.5,1,1.1,1.3,52,2.9,,78,48550,19,18,1.1,1.5,61,64,14,15,32,21,0.9,4,10
Eritrea,africa,EASTERN AFRICA,6,30,7,2.3,-15,6.8,8.9,46,4.1,1500,40,865,8,7,0.4,0.7,62,68,13,14,41,30,1.1,4,6
Ethiopia,africa,EASTERN AFRICA,107.5,33,7,2.6,0,139.6,190.9,40,4.4,1890,20,711,37,35,0.7,1.2,64,67,14,15,41,26,1.1,4,7
Kenya,africa,EASTERN AFRICA,51,31,6,2.6,0,67,95.5,36,3.9,3250,32,878,62,60,3.5,6.2,65,69,14,16,41,29,1.3,3,7
Madagascar,africa,EASTERN AFRICA,26.3,32,6,2.6,0,35.6,53.8,32,4.1,1510,37,750,40,33,0.4,0.2,64,68,13,14,41,32,1.6,3,6
Malawi,africa,EASTERN AFRICA,19.1,34,7,2.6,-1,25.6,37.4,42,4.2,1180,17,502,59,58,7.4,11.7,61,66,14,15,44,32,1.4,3,5
Mauritius,africa,EASTERN AFRICA,1.3,11,8,0.3,-1,1.3,1.2,11.8,1.4,22570,41,1710,64,32,,,71,78,15,19,19,14,0.7,11,24
Mayotte,africa,EASTERN AFRICA,0.3,39,3,3.6,0,0.4,0.6,4,5.1,,46,2970,,,,,74,77,18,22,44,27,1.3,3,10
Mozambique,africa,EASTERN AFRICA,30.5,39,10,2.9,0,42.4,67.8,65,5.3,1200,32,540,27,25,9.9,15,56,60,13,14,45,35,1.7,3,4
Réunion,africa,EASTERN AFRICA,0.9,16,6,1,-4,0.9,1,7,2.4,,100,2539,,,,,78,84,18,22,24,17,0.8,11,25
Rwanda,africa,EASTERN AFRICA,12.6,32,6,2.6,-1,16.6,24.3,32,4.2,1990,19,1091,53,48,1.9,3.4,65,69,14,15,40,27,1.3,3,8
Seychelles,africa,EASTERN AFRICA,0.1,17,8,1,-3,0.1,0.1,13.4,2.4,26860,57,64364,,,,,68,78,14,18,22,18,0.8,8,23
Somalia,africa,EASTERN AFRICA,15.2,43,11,3.2,-3,21.5,35.9,72,6.3,,45,1380,15,14,0.1,0.1,55,58,13,13,47,38,1.9,3,3
South Sudan,africa,EASTERN AFRICA,13,37,11,2.6,4,17.9,27.9,69,5,1440,20,,4,2,2,2.9,56,58,13,14,42,32,1.7,3,5
Tanzania,africa,EASTERN AFRICA,59.1,39,7,3.3,-1,83.7,138.1,43,5.2,2916,34,438,38,32,3.4,5.5,64,67,14,15,45,36,1.9,3,5
Uganda,africa,EASTERN AFRICA,44.1,41,9,3.2,-1,61.6,95.6,43,5.4,1820,24,639,42,36,4.5,7.3,62,64,13,14,48,36,1.6,3,4
Zambia,africa,EASTERN AFRICA,17.7,39,8,3.1,0,25.8,45.1,49,5.2,3920,44,465,49,45,8.8,14.3,59,64,14,15,45,36,2,2,4
Zimbabwe,africa,EASTERN AFRICA,14,34,10,2.4,-10,17.6,25.6,50,4,1850,32,351,67,66,10.5,16.1,58,62,14,15,39,28,1.3,4,6
Angola,africa,MIDDLE AFRICA,30.4,45,10,3.5,0,45.4,82.2,44,6.2,6060,63,620,14,13,1.2,2.6,58,62,13,15,48,38,2.1,2,4
Cameroon,africa,MIDDLE AFRICA,25.6,36,10,2.6,0,34.4,51.9,52,4.7,3640,56,414,34,21,2.5,4.8,57,60,13,14,43,33,1.6,3,5
Central African Republic,africa,MIDDLE AFRICA,4.7,36,14,2.2,-10,6.1,8.9,85,4.9,730,41,263,15,12,3.3,4.7,50,54,12,13,44,32,1.4,4,5
Chad,africa,MIDDLE AFRICA,15.4,45,13,3.1,1,22.2,36.8,72,6.4,1920,23,314,6,5,1,1.6,52,54,12,13,47,35,1.8,2,3
Congo,africa,MIDDLE AFRICA,5.4,33,10,2.3,-5,7.3,11.5,41,4.4,4880,67,982,30,19,1.9,4.4,58,61,14,15,42,34,1.7,3,6
"Congo, Dem. Rep.",africa,MIDDLE AFRICA,84.3,43,10,3.3,0,124.3,215.9,67,6.3,870,45,1188,20,8,0.4,1,58,61,13,14,46,36,2,3,4
Equatorial Guinea,africa,MIDDLE AFRICA,1.3,34,10,2.4,14,1.9,2.8,64,4.7,19380,71,1095,13,10,5.4,8.1,56,59,13,14,37,29,1.7,3,4
Gabon,africa,MIDDLE AFRICA,2.1,29,8,2.2,3,2.9,3.9,37,3.8,17010,89,632,31,19,2.3,6.4,65,68,14,16,36,27,1.4,4,9
São Tomé and Príncipe,africa,MIDDLE AFRICA,0.2,33,7,2.6,-5,0.3,0.3,38,4.4,3370,73,2425,41,37,,,65,69,14,15,42,32,1.2,4,6
Botswana,africa,SOUTHERN AFRICA,2.2,22,10,1.2,3,2.6,3.2,31,2.6,16990,70,564,53,51,18.4,27.4,61,65,13,15,32,21,0.9,5,11
Eswatini,africa,SOUTHERN AFRICA,1.4,29,10,1.9,-1,1.7,2.1,50,3.3,8520,24,795,66,66,19.3,35.1,54,61,12,14,37,26,1,3,6
Lesotho,africa,SOUTHERN AFRICA,2.3,29,13,1.6,-2,2.6,3.2,59,3.3,3510,28,831,60,60,18.7,29,52,56,12,13,36,27,1.1,5,6
Namibia,africa,SOUTHERN AFRICA,2.5,28,8,2,0,3.1,4.2,36,3.4,10320,48,317,56,55,9.5,14.5,62,65,13,15,37,27,1.2,4,7
South Africa,africa,SOUTHERN AFRICA,57.7,21,9,1.2,4,67.9,81.8,36,2.4,13090,66,462,55,54,14,23.7,61,67,11,16,30,21,1,6,11
Canada,north america,north america,37.2,11,8,0.3,11,41,46.9,4.5,1.5,45750,81,85,85,,,,80,84,20,22,16,15,1.2,17,26
United States,north america,north america,328,12,9,0.3,3,354.7,389.6,5.6,1.8,60200,82,215,73,63,,,76,81,19,21,19,17,1.1,15,22
Belize,north america,central america,0.4,23,5,1.8,4,0.5,0.6,9,2.6,7890,45,510,51,49,2,1.8,71,77,13,15,36,21,0.9,4,10
Costa Rica,north america,central america,5,14,5,0.9,2,5.6,6.1,8,1.7,16100,73,2157,76,75,0.6,0.2,78,83,19,21,22,15,0.8,8,24
El Salvador,north america,central america,6.5,20,7,1.3,-7,7.1,8,17,2.3,7540,70,863,72,68,0.8,0.4,69,78,17,19,28,18,0.8,8,17
Guatemala,north america,central america,17.2,24,5,1.9,-1,21.2,27,28,2.8,8000,51,1847,61,49,0.5,0.3,69,76,17,19,40,23,0.9,5,11
Honduras,north america,central america,9,22,5,1.7,0,10.3,11.3,25,2.5,4630,54,884,73,64,0.4,0.3,71,76,17,20,34,19,0.7,5,13
Mexico,north america,central america,130.8,19,6,1.3,-1,147.5,164.3,17,2.2,17740,73,571,67,65,0.4,0.1,75,80,18,20,27,17,0.8,7,19
Nicaragua,north america,central america,6.3,20,5,1.5,-4,7,7.9,18,2.2,5680,59,416,80,77,0.3,0.1,72,78,18,20,30,17,0.7,5,17
Panama,north america,central america,4.2,19,5,1.4,1,4.9,5.8,14,2.4,21890,69,739,63,60,1.3,0.6,75,81,19,22,27,20,1,8,18
Antigua and Barbuda,north america,caribbean,0.1,15,6,0.9,0,0.1,0.1,8,1.9,22980,25,2564,,,,,74,79,17,19,24,18,0.8,7,19
Bahamas,north america,caribbean,0.4,13,6,0.7,3,0.4,0.4,8,1.6,29790,83,4963,,,2,1.7,73,79,17,20,20,16,0.8,9,21
Barbados,north america,caribbean,0.3,11,9,0.1,1,0.3,0.3,9,1.6,17830,31,2593,59,55,2.2,1.1,73,78,15,17,19,17,0.8,15,25
Cuba,north america,caribbean,11.1,10,9,0.2,-5,10.8,9.8,4.3,1.6,,77,369,74,72,0.6,0.3,76,81,19,21,17,14,0.7,15,31
Curaçao,north america,caribbean,0.2,10,9,0.1,-3,0.2,0.2,10.7,1.5,,89,,,,,,75,82,18,20,18,16,1,17,24
Dominica,north america,caribbean,0.07,12,8,0.4,1,0.08,0.08,20,1.8,10170,71,1211,,,,,73,78,,,22,,,11,
Dominican Republic,north america,caribbean,10.8,20,6,1.4,-3,12,13.2,31,2.5,15290,80,1354,70,68,1,0.8,71,77,17,20,30,19,0.8,7,16
Grenada,north america,caribbean,0.1,16,9,0.7,0,0.1,0.1,19,2.1,14410,36,3807,,,,,74,79,15,16,26,18,0.7,7,17
Guadeloupe,north america,caribbean,0.4,10,8,0.1,-9,0.4,0.4,8.1,1.7,,99,1707,,,,,77,84,19,23,19,15,0.7,18,29
Haiti,north america,caribbean,10.8,25,8,1.7,-2,12.4,14.5,59,3,1830,55,1008,34,32,1.5,2.3,62,67,14,15,33,23,0.9,4,10
Jamaica,north america,caribbean,2.9,17,7,1,-6,2.9,2.7,14,2,8690,56,2416,73,68,2.4,1.2,74,78,17,20,23,16,0.6,9,22
