"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	2574	275247	935.2	925.5
	"Baldwin County, AL"	"01003"	9792	997548	981.6	764.1
	"Barbour County, AL"	"01005"	1399	133068	1051.3	886.6
	"Bibb County, AL"	"01007"	1206	112861	1068.6	991.2
	"Blount County, AL"	"01009"	3069	288519	1063.7	904.9
	"Bullock County, AL"	"01011"	593	52759	1124.0	979.6
	"Butler County, AL"	"01013"	1350	101402	1331.3	998.6
	"Calhoun County, AL"	"01015"	7069	579416	1220.0	1042.2
	"Chambers County, AL"	"01017"	2274	170089	1336.9	1004.5
	"Cherokee County, AL"	"01019"	1710	129486	1320.6	1001.7
	"Chilton County, AL"	"01021"	2445	219086	1116.0	1001.6
	"Choctaw County, AL"	"01023"	903	66437	1359.2	972.9
	"Clarke County, AL"	"01025"	1440	124233	1159.1	894.0
	"Clay County, AL"	"01027"	887	67415	1315.7	945.1
	"Cleburne County, AL"	"01029"	960	74955	1280.8	1000.1
	"Coffee County, AL"	"01031"	2509	254955	984.1	848.0
	"Colbert County, AL"	"01033"	3581	271887	1317.1	986.5
	"Conecuh County, AL"	"01035"	861	63486	1356.2	959.1
	"Coosa County, AL"	"01037"	694	54321	1277.6	964.0
	"Covington County, AL"	"01039"	2604	188646	1380.4	968.2
	"Crenshaw County, AL"	"01041"	903	69481	1299.6	1001.3
	"Cullman County, AL"	"01043"	4871	406578	1198.0	989.9
	"Dale County, AL"	"01045"	2484	248034	1001.5	891.1
	"Dallas County, AL"	"01047"	2701	207131	1304.0	1128.0
	"DeKalb County, AL"	"01049"	3910	354686	1102.4	987.3
	"Elmore County, AL"	"01051"	3824	404783	944.7	925.6
	"Escambia County, AL"	"01053"	2409	189373	1272.1	1068.3
	"Etowah County, AL"	"01055"	6896	516813	1334.3	1071.0
	"Fayette County, AL"	"01057"	1163	83914	1385.9	1024.9
	"Franklin County, AL"	"01059"	1939	157867	1228.2	1072.6
	"Geneva County, AL"	"01061"	1765	133823	1318.9	980.5
	"Greene County, AL"	"01063"	549	42936	1278.6	949.6
	"Hale County, AL"	"01065"	885	75794	1167.6	907.8
	"Henry County, AL"	"01067"	1075	85936	1250.9	881.7
	"Houston County, AL"	"01069"	5362	519454	1032.2	876.7
	"Jackson County, AL"	"01071"	3527	263042	1340.9	1052.3
	"Jefferson County, AL"	"01073"	35122	3295478	1065.8	929.1
	"Lamar County, AL"	"01075"	999	70331	1420.4	983.8
	"Lauderdale County, AL"	"01077"	5533	463207	1194.5	911.7
	"Lawrence County, AL"	"01079"	2011	167167	1203.0	1044.3
	"Lee County, AL"	"01081"	5263	769735	683.7	859.4
	"Limestone County, AL"	"01083"	3647	451287	808.1	790.2
	"Lowndes County, AL"	"01085"	663	52824	1255.1	1057.4
	"Macon County, AL"	"01087"	1184	98420	1203.0	988.5
	"Madison County, AL"	"01089"	14737	1749867	842.2	793.9
	"Marengo County, AL"	"01091"	1282	100330	1277.8	940.3
	"Marion County, AL"	"01093"	2001	151196	1323.4	962.8
	"Marshall County, AL"	"01095"	5561	472670	1176.5	1019.8
	"Mobile County, AL"	"01097"	21418	2071456	1034.0	940.5
	"Monroe County, AL"	"01099"	1294	109876	1177.7	928.7
	"Montgomery County, AL"	"01101"	10547	1136959	927.6	881.4
	"Morgan County, AL"	"01103"	6360	597776	1063.9	916.0
	"Perry County, AL"	"01105"	670	49278	1359.6	1075.5
	"Pickens County, AL"	"01107"	1260	100212	1257.3	969.7
	"Pike County, AL"	"01109"	1575	166387	946.6	917.8
	"Randolph County, AL"	"01111"	1465	113075	1295.6	966.8
	"Russell County, AL"	"01113"	2821	293178	962.2	964.0
	"St. Clair County, AL"	"01115"	4536	432880	1047.9	979.0
	"Shelby County, AL"	"01117"	6806	1029753	660.9	676.7
	"Sumter County, AL"	"01119"	784	66424	1180.3	967.7
	"Talladega County, AL"	"01121"	4901	405286	1209.3	1037.3
	"Tallapoosa County, AL"	"01123"	2590	204792	1264.7	961.4
	"Tuscaloosa County, AL"	"01125"	8463	1012356	836.0	901.9
	"Walker County, AL"	"01127"	5040	327967	1536.7	1250.9
	"Washington County, AL"	"01129"	1082	84544	1279.8	1070.3
	"Wilcox County, AL"	"01131"	732	55593	1316.7	1069.7
	"Winston County, AL"	"01133"	1550	120063	1291.0	950.7
	"Aleutians East Borough, AK"	"02013"	41	16496	248.5	344.8
	"Aleutians West Census Area, AK"	"02016"	84	28569	294.0	630.7
	"Anchorage Borough, AK"	"02020"	8083	1496603	540.1	714.6
	"Bethel Census Area, AK"	"02050"	542	89427	606.1	1029.0
	"Bristol Bay Borough, AK"	"02060"	40	4669	856.7	920.6
	"Denali Borough, AK"	"02068"	53	9626	550.6	820.1
	"Dillingham Census Area, AK"	"02070"	172	24899	690.8	981.9
	"Fairbanks North Star Borough, AK"	"02090"	2356	500748	470.5	716.7
	"Haines Borough, AK"	"02100"	88	12640	696.2	627.1
	"Hoonah-Angoon Census Area, AK"	"02105"	53	6277	844.4	715.9
	"Juneau Borough, AK"	"02110"	932	162620	573.1	682.2
	"Kenai Peninsula Borough, AK"	"02122"	2056	288187	713.4	707.2
	"Ketchikan Gateway Borough, AK"	"02130"	445	68577	648.9	682.4
	"Kodiak Island Borough, AK"	"02150"	317	69591	455.5	678.4
	"Lake and Peninsula Borough, AK"	"02164"	65	8055	807.0	1079.9
	"Matanuska-Susitna Borough, AK"	"02170"	2788	493395	565.1	770.7
	"Nome Census Area, AK"	"02180"	328	49396	664.0	990.3
	"North Slope Borough, AK"	"02185"	251	48407	518.5	987.5
	"Northwest Arctic Borough, AK"	"02188"	229	38616	593.0	867.3
	"Petersburg Borough/Census Area, AK"	"02195"	68	9473	717.8	732.5
	"Prince of Wales-Hyder Census Area, AK"	"02198"	150	19100	785.3	1166.7
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	66	12769	516.9	635.4
	"Sitka Borough, AK"	"02220"	323	44606	724.1	686.9
	"Skagway Municipality, AK"	"02230"	11	3177	346.2 	425.2 
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	35	6253	559.7	504.6
	"Southeast Fairbanks Census Area, AK"	"02240"	241	34850	691.5	794.8
	"Valdez-Cordova Census Area, AK"	"02261"	290	47609	609.1	802.0
	"Wade Hampton Census Area, AK"	"02270"	285	39963	713.2	1353.1
	"Wrangell City and Borough, AK"	"02275"	61	7187	848.8	665.5
	"Wrangell-Petersburg Census Area, AK"	"02280"	91	11327	803.4	696.6
	"Yakutat Borough, AK"	"02282"	14	3163	442.6 	438.3 
	"Yukon-Koyukuk Census Area, AK"	"02290"	289	28001	1032.1	994.2
	"Apache County, AZ"	"04001"	3200	361729	884.6	924.2
	"Cochise County, AZ"	"04003"	6345	640883	990.0	732.4
	"Coconino County, AZ"	"04005"	3841	690319	556.4	669.1
	"Gila County, AZ"	"04007"	3751	265893	1410.7	897.3
	"Graham County, AZ"	"04009"	1388	187644	739.7	787.1
	"Greenlee County, AZ"	"04011"	284	46121	615.8	654.0
	"La Paz County, AZ"	"04012"	1317	101521	1297.3	753.4
	"Maricopa County, AZ"	"04013"	141503	20442743	692.2	651.3
	"Mohave County, AZ"	"04015"	14984	1018147	1471.7	893.4
	"Navajo County, AZ"	"04017"	4759	541047	879.6	833.3
	"Pima County, AZ"	"04019"	44931	5016692	895.6	690.0
	"Pinal County, AZ"	"04021"	13602	1988021	684.2	594.9
	"Santa Cruz County, AZ"	"04023"	1467	232733	630.3	560.2
	"Yavapai County, AZ"	"04025"	14067	1092928	1287.1	730.7
	"Yuma County, AZ"	"04027"	7126	1016459	701.1	574.1
	"Arkansas County, AR"	"05001"	1183	92844	1274.2	964.4
	"Ashley County, AR"	"05003"	1312	104947	1250.2	983.1
	"Baxter County, AR"	"05005"	3380	204959	1649.1	862.7
	"Benton County, AR"	"05007"	8621	1226154	703.1	711.5
	"Boone County, AR"	"05009"	2200	186507	1179.6	835.5
	"Bradley County, AR"	"05011"	743	55479	1339.2	998.3
	"Calhoun County, AR"	"05013"	327	26048	1255.4	861.7
	"Carroll County, AR"	"05015"	1551	138451	1120.3	815.5
	"Chicot County, AR"	"05017"	768	55943	1372.8	951.5
	"Clark County, AR"	"05019"	1260	113419	1110.9	949.4
	"Clay County, AR"	"05021"	1197	76010	1574.8	1059.1
	"Cleburne County, AR"	"05023"	1831	127937	1431.2	853.9
	"Cleveland County, AR"	"05025"	528	42104	1254.0	980.3
	"Columbia County, AR"	"05027"	1502	120842	1242.9	980.1
	"Conway County, AR"	"05029"	1325	105300	1258.3	929.5
	"Craighead County, AR"	"05031"	4469	514420	868.7	863.4
	"Crawford County, AR"	"05033"	3123	309637	1008.6	908.7
	"Crittenden County, AR"	"05035"	2457	247553	992.5	1017.0
	"Cross County, AR"	"05037"	1178	86644	1359.6	1086.4
	"Dallas County, AR"	"05039"	562	38688	1452.6	981.1
	"Desha County, AR"	"05041"	783	61170	1280.0	1032.8
	"Drew County, AR"	"05043"	1023	93439	1094.8	917.2
	"Faulkner County, AR"	"05045"	4564	602086	758.0	873.0
	"Franklin County, AR"	"05047"	1180	88993	1325.9	1010.3
	"Fulton County, AR"	"05049"	827	60930	1357.3	830.1
	"Garland County, AR"	"05051"	6778	485594	1395.8	937.1
	"Grant County, AR"	"05053"	953	90232	1056.2	927.6
	"Greene County, AR"	"05055"	2390	218726	1092.7	998.7
	"Hempstead County, AR"	"05057"	1191	111039	1072.6	884.4
	"Hot Spring County, AR"	"05059"	2016	167198	1205.8	980.3
	"Howard County, AR"	"05061"	840	67435	1245.6	994.5
	"Independence County, AR"	"05063"	2133	185152	1152.0	917.3
	"Izard County, AR"	"05065"	945	67303	1404.1	838.7
	"Jackson County, AR"	"05067"	1152	87475	1316.9	1067.6
	"Jefferson County, AR"	"05069"	4256	361924	1175.9	1016.7
	"Johnson County, AR"	"05071"	1297	130127	996.7	871.5
	"Lafayette County, AR"	"05073"	511	35633	1434.1	992.6
	"Lawrence County, AR"	"05075"	1203	84577	1422.4	1016.5
	"Lee County, AR"	"05077"	621	48906	1269.8	996.5
	"Lincoln County, AR"	"05079"	650	69675	932.9	881.8
	"Little River County, AR"	"05081"	819	63080	1298.4	990.1
	"Logan County, AR"	"05083"	1402	109676	1278.3	947.2
	"Lonoke County, AR"	"05085"	3235	356396	907.7	953.0
	"Madison County, AR"	"05087"	878	78806	1114.1	899.2
	"Marion County, AR"	"05089"	1266	82022	1543.5	929.5
	"Miller County, AR"	"05091"	2370	218331	1085.5	963.0
	"Mississippi County, AR"	"05093"	2488	220995	1125.8	1080.3
	"Monroe County, AR"	"05095"	607	37709	1609.7	1074.7
	"Montgomery County, AR"	"05097"	658	45500	1446.2	869.2
	"Nevada County, AR"	"05099"	614	43342	1416.6	1020.6
