"","ID","Country","Continent","Region","Year","Population","CBR","CDR","Rate_of_natural_increase","Net_Migration_Rate","ProjectedPopMid2025","ProjectedPopMid2050","ProjectedPopChange_08_50Perc","IMR","TFR","PercPopLT15","PercPopGT65","e0Total","e0Male","e0Female","PercUrban","PercPop1549HIVAIDS1995","PercPop1549HIVAIDS2011_2013","PercMarWomContraALL","PercMarWomContraModern","PopSquareKM","GNIPPPperCapitaUSDollars2012","GDPGrowth2000_2006","GDPGrowth2007_2011","PercShareofIncome_poor5","PercShareofIncome_wealthiest5","PercPopImproperSanitation_Urban","PercPopImproperSanitation_Rural"
"1",115,"Afghanistan","Asia","South Central Asia",2013,30.6,37,8,2.8,-5,39.6,56.5,1.8,71,5.4,49,2,60,59,61,24,0.1,0.1,21,20,47,1400,NA,13.1,9,37,46,23
"2",178,"Albania","Europe","Southern Europe",2013,2.8,13,7,0.5,-15,2.9,2.7,1,14.4,1.8,20,12,77,74,80,54,NA,NA,69,10,96,9390,15.1,3.2,8,43,95,93
"3",1,"Algeria","Africa","NORTHERN AFRICA  ",2013,38.3,26,5,2.2,0,46.5,54.5,1.6,23,3,28,6,76,76,77,73,0.1,0.1,61,52,16,7550,12.7,5.5,NA,NA,98,88
"4",179,"Andorra","Europe","Southern Europe",2013,0.1,9,4,0.5,4,0.1,0.1,0.9,1.9,1.2,16,13,NA,NA,NA,90,NA,NA,NA,NA,157,NA,15.2,NA,NA,NA,100,100
"5",43,"Angola","Africa","MIDDLE AFRICA",2013,21.6,47,15,3.2,1,31.6,61.1,2.8,98,6.3,48,2,51,50,53,59,1.2,2.1,18,12,17,5490,39.2,8.7,5,49,86,19
"6",67,"Antigua and Barbuda","North America","Carribean",2013,0.1,14,5,0.8,0,0.1,0.1,1.3,16,2.1,26,7,76,74,80,30,NA,NA,NA,NA,199,19260,6.2,-2.5,NA,NA,91,91
"7",84,"Argentina","South America","South America",2013,41.3,19,8,1.1,-1,46.8,58.1,1.4,11.7,2.4,25,11,76,72,80,93,0.3,0.4,79,70,15,NA,-4.7,8.9,4,49,96,98
"8",97,"Armenia","Asia","Western Asia",2013,3,14,10,0.4,0,3,3,1,11,1.6,17,10,74,71,78,63,0.1,0.2,55,26,102,6990,20.1,1.8,9,40,96,81
"9",192,"Australia","Oceania","Oceania",2013,23.1,13,6,0.7,10,27.1,34.2,1.5,3.4,1.9,19,14,82,80,84,82,0.1,0.2,72,68,3,43170,9.7,8.1,NA,NA,100,100
"10",159,"Austria","Europe","Western Europe",2013,8.5,9,9,0,5,8.9,9.3,1.1,3.1,1.4,14,18,81,78,83,67,0.1,0.4,51,47,101,43220,8.8,1.8,9,38,100,100
"11",98,"Azerbaijan","Asia","Western Asia",2013,9.4,19,6,1.3,0,10.4,11.4,1.2,11,2.3,22,6,74,71,77,53,0.1,0.1,51,13,109,9410,23,10.9,8,42,86,78
"12",68,"Bahamas","North America","Carribean",2013,0.3,13,6,0.7,6,0.4,0.5,1.3,16,1.7,26,6,75,72,78,84,4,2.8,NA,NA,25,29740,3.8,-1.1,NA,NA,NA,NA
"13",99,"Bahrain","Asia","Western Asia",2013,1.1,14,2,1.2,-40,1.4,1.6,1.4,7,1.9,21,2,76,75,78,100,NA,0.2,62,31,NA,21420,11.5,NA,NA,NA,99,99
