"survey","year","var_code","var_label","data_type","level","val_min","val_max","val_label","recode","val_length","val_na"
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"01","01","Alabama/AL",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"02","02","Alaska/AK",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"04","04","Arizona/AZ",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"05","05","Arkansas/AR",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"06","06","California/CA",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"08","08","Colorado/CO",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"09","09","Connecticut/CT",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"10","10","Delaware/DE",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"11","11","District of Columbia/DC",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"12","12","Florida/FL",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"13","13","Georgia/GA",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"15","15","Hawaii/HI",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"16","16","Idaho/ID",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"17","17","Illinois/IL",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"18","18","Indiana/IN",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"19","19","Iowa/IA",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"20","20","Kansas/KS",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"21","21","Kentucky/KY",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"22","22","Louisiana/LA",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"23","23","Maine/ME",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"24","24","Maryland/MD",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"25","25","Massachusetts/MA",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"26","26","Michigan/MI",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"27","27","Minnesota/MN",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"28","28","Mississippi/MS",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"29","29","Missouri/MO",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"30","30","Montana/MT",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"31","31","Nebraska/NE",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"32","32","Nevada/NV",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"33","33","New Hampshire/NH",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"34","34","New Jersey/NJ",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"35","35","New Mexico/NM",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"36","36","New York/NY",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"37","37","North Carolina/NC",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"38","38","North Dakota/ND",TRUE,2,NA
