Source,Date,Obsolescence Date,Business Name,Legal Name,Physical Address,Physical Address Number,Physical Pre Direction,Physical Address Name,Physical Address Suffix,Physical Post Direction,Physical City,Physical State,Physical ZIP,Physical ZIP 4,Key Executive Name,First Name,Middle Initial,Last Name,Title,Gender,Location Employee Size,Corporate Employee Size,Revenue / Yr,Mailing Address,Mailing Address Number,Mailing Pre Direction,Mailing Address Name,Mailing Address Suffix,Mailing Post Direction,Mailing City,Mailing State,Mailing ZIP,Mailing ZIP 4,Phone,Fax,Toll-Free,County Name,County Population,Metro Area,Latitude,Longitude,EIN,Main Line of Business,Location Type,Importer or Exporter,Manufacturer,Primary SIC,Primary SIC Description,SIC02,SIC02.Description,SIC03,SIC03.Description,SIC04,SIC04.Description,SIC05,SIC05.Description,SIC06,SIC06.Description,SIC07,SIC07.Description,SIC08,SIC08.Description,SIC09,SIC09.Description,SIC10,SIC10.Description,NAICS 1,NAICS 1 Description,NAICS 2,NAICS 2 Description,NAICS 3,NAICS 3 Description,NAICS 4,NAICS 4 Description,NAICS 5,NAICS 5 Description,NAICS 6,NAICS 6 Description,NAICS 7,NAICS 7 Description,NAICS 8,NAICS 8 Description,NAICS 9,NAICS 9 Description,NAICS 10,NAICS 10 Description,Non-Profit,Number of PCs,Public / Private,Small Business,Square Footage,Website,Women Owned,Year Established,Ticker Symbol,Stock Exchange,Fortune 1000 Ranking,Credit Score,2017 Revenue/Yr,2016 Revenue/Yr,2015 Revenue/Yr,2016 % Sales Growth,2015 % Sales Growth,2017 Employees,2016 Employees,2015 Employees,2016 % Employee Growth,2015 % Employee Growth,Executive First Name 1,Executive Last Name 1,Executive Title 1,Executive Gender 1,Executive Department 1,Executive First Name 2,Executive Last Name 2,Executive Title 2,Executive Gender 2,Executive Department 2,Executive First Name 3,Executive Last Name 3,Executive Title 3,Executive Gender 3,Executive Department 3,Executive First Name 4,Executive Last Name 4,Executive Title 4,Executive Gender 4,Executive Department 4,Executive First Name 5,Executive Last Name 5,Executive Title 5,Executive Gender 5,Executive Department 5,Executive First Name 6,Executive Last Name 6,Executive Title 6,Executive Gender 6,Executive Department 6,Executive First Name 7,Executive Last Name 7,Executive Title 7,Executive Gender 7,Executive Department 7,Executive First Name 8,Executive Last Name 8,Executive Title 8,Executive Gender 8,Executive Department 8,Executive First Name 9,Executive Last Name 9,Executive Title 9,Executive Gender 9,Executive Department 9,Executive First Name 10,Executive Last Name 10,Executive Title 10,Executive Gender 10,Executive Department 10,Executive First Name 11,Executive Last Name 11,Executive Title 11,Executive Gender 11,Executive Department 11,Executive First Name 12,Executive Last Name 12,Executive Title 12,Executive Gender 12,Executive Department 12,Executive First Name 13,Executive Last Name 13,Executive Title 13,Executive Gender 13,Executive Department 13,Executive First Name 14,Executive Last Name 14,Executive Title 14,Executive Gender 14,Executive Department 14,Executive First Name 15,Executive Last Name 15,Executive Title 15,Executive Gender 15,Executive Department 15,Executive First Name 16,Executive Last Name 16,Executive Title 16,Executive Gender 16,Executive Department 16,Executive First Name 17,Executive Last Name 17,Executive Title 17,Executive Gender 17,Executive Department 17,Executive First Name 18,Executive Last Name 18,Executive Title 18,Executive Gender 18,Executive Department 18,Executive First Name 19,Executive Last Name 19,Executive Title 19,Executive Gender 19,Executive Department 19,Executive First Name 20,Executive Last Name 20,Executive Title 20,Executive Gender 20,Executive Department 20,Est. Accounting Annual Expense,Est. Advertising Annual Expense,Est. Business Insurance Annual Expense,Est. Legal Annual Expense,Est. Office Equipment Annual Expense,Est. Rent Annual Expense,Est. Technology Annual Expense,Est. Telecom Annual Expense,Est. Utilities Annual Expense,AtoZ ID,Home Based Business,Franchise Type,Holding Parent Name,Source 
AtoZDatabases,2/20/2020,8/20/2020,Social Workers As Needed,,1039 W Hildebrand Ave,1039,W,Hildebrand,Ave,,San Antonio,TX,78201,4667, ,,,,,,22,,N/A,1039 W Hildebrand Ave,1039,W,Hildebrand,Ave,,San Antonio,TX,78201,4667,(210) 521-8100,N/A,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.466727,-98.510955,,Health & Allied Services,,,No,8099001,Health & Allied Services,8322011,Social Workers,9111001,Federal Government Executive Offices,8051005,Health Care Facilities,8099002,Medical Services Organization,8322087,Clinical Social Workers,,,,,,,,,621999,All Other Miscellaneous Ambulatory Health Care Services,624190,Other Individual and Family Services,921110,Executive Offices,623110,Nursing Care Facilities (Skilled Nursing Facilities),,,,,,,,,,,,,No,25 to 99,Private,No,"1,000 to 4,999",www.socialworkersasneeded.com,No,,,,,0,0,0,0,0,0,,,,0,0,,,,,,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,"$5,000 to $24,999",,"$20,000 to $49,999",,"$25,000 to $99,999","$25,000 to $99,999","$10,000 to $24,999","$10,000 to $24,999","$20,000 to $49,999",1.11325E+13,No,,,AtoZDatabases
AtoZDatabases,2/20/2020,8/20/2020,San Antonio Sign Language Congregation of Jehovah,,1102 Delgado St,1102,,Delgado,St,,San Antonio,TX,78207,1506, ,,,,,,17,,"$1,129,728 ",1102 Delgado St,1102,,Delgado,St,,San Antonio,TX,78207,1506,(210) 592-6722,N/A,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.43809,-98.523699,,Deaf Services & Facilities,,,No,8322082,Deaf Services & Facilities,,,,,,,,,,,,,,,,,,,624190,Other Individual and Family Services,,,,,,,,,,,,,,,,,,,No,25 to 99,Private,Yes,"1,000 to 4,999",,No,2016,,,,0,1129728,1196182,863909,-5.56,38.46,17,18,13,-5.56,38.46,,,,,,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,"$5,000 to $24,999",,"$7,500 to $19,999",,"$10,000 to $24,999","$10,000 to $24,999","$10,000 to $24,999","$5,000 to $9,999","$7,500 to $19,999",1.114E+13,No,,,AtoZDatabases
AtoZDatabases,2/20/2020,8/20/2020,Center For Health Care Service,,1115 W Martin St,1115,W,Martin,St,,San Antonio,TX,78207,3005, ,,,,,,9,,"$598,091 ",1115 W Martin St,1115,W,Martin,St,,San Antonio,TX,78207,3005,(210) 731-1300,N/A,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.430439,-98.5040524,,Counselors & Counseling Services,,,No,8322002,Counselors & Counseling Services,8322011,Social Workers,,,,,,,,,,,,,,,,,624190,Other Individual and Family Services,,,,,,,,,,,,,,,,,,,No,10 to 24,Private,Yes,"1,000 to 4,999",,No,,,,,0,598091,531637,664546,12.5,-20,9,8,10,12.5,-20,,,,,,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,"$5,000 to $24,999",,"$7,500 to $19,999",,"$5,000 to $9,999","$10,000 to $24,999","$5,000 to $9,999","$5,000 to $9,999","$7,500 to $19,999",1.11325E+13,No,,,AtoZDatabases
AtoZDatabases,2/20/2020,8/20/2020,Linda Hodgson,,1115 W Martin St,1115,W,Martin,St,,San Antonio,TX,78207,3005,Linda Hodgson,Linda,,Hodgson,Educator,Female,1,,"$66,455 ",1115 W Martin St,1115,W,Martin,St,,San Antonio,TX,78207,3005,(210) 358-3731,N/A,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.430439,-98.5040524,,Counselors & Counseling Services,,,No,8322002,Counselors & Counseling Services,,,,,,,,,,,,,,,,,,,624190,Other Individual and Family Services,,,,,,,,,,,,,,,,,,,No,Up to 4,Private,No,Up to 999,,No,,,,,0,0,0,0,0,0,,,,0,0,Linda,Hodgson,Educator,Female,Education,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,Up to $999,,"Up to $2,499",,"Up to $1,999","Up to $2,499","Up to $2,499","Up to $1,999","Up to $2,499",1.11325E+13,No,,,AtoZDatabases
AtoZDatabases,2/20/2020,8/20/2020,Anne Manske,,1115 W Martin St,1115,W,Martin,St,,San Antonio,TX,78207,3005,Anne Manske,Anne,,Manske,Educator,Female,1,,"$66,455 ",1115 W Martin St,1115,W,Martin,St,,San Antonio,TX,78207,3005,(210) 358-3731,N/A,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.430439,-98.5040524,,Counselors & Counseling Services,,,No,8322002,Counselors & Counseling Services,,,,,,,,,,,,,,,,,,,624190,Other Individual and Family Services,,,,,,,,,,,,,,,,,,,No,Up to 4,Private,No,Up to 999,,No,,,,,0,0,0,0,0,0,,,,0,0,Anne,Manske,Educator,Female,Education,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,Up to $999,,"Up to $2,499",,"Up to $1,999","Up to $2,499","Up to $2,499","Up to $1,999","Up to $2,499",1.11325E+13,No,,,AtoZDatabases
AtoZDatabases,2/20/2020,8/20/2020,Adriana T Stanley,Center For Health Care Service,1115 W Martin St,1115,W,Martin,St,,San Antonio,TX,78207,3005,Adriana Stanley,Adriana,,Stanley,Educator,Female,,,N/A,1115 W Martin St,1115,W,Martin,St,,San Antonio,TX,78207,3005,(210) 731-1300,N/A,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.430439,-98.5040524,,Counselors & Counseling Services,,,No,8322002,Counselors & Counseling Services,,,,,,,,,,,,,,,,,,,624190,Other Individual and Family Services,,,,,,,,,,,,,,,,,,,No,Up to 4,Private,No,Up to 999,,No,,,,,0,0,0,0,0,0,,,,0,0,Adriana,Stanley,Educator,Female,Education,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,Professional,Professional,Professional,Professional,Professional,Professional,Professional,Professional,Professional,1.11325E+13,No,,,AtoZDatabases
AtoZDatabases,2/20/2020,8/20/2020,Eric Turpening,Center For Health Care Service,1115 W Martin St,1115,W,Martin,St,,San Antonio,TX,78207,3005,Eric Turpening,Eric,,Turpening,Educator,Male,,,N/A,1115 W Martin St,1115,W,Martin,St,,San Antonio,TX,78207,3005,(210) 731-1300,N/A,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.430439,-98.5040524,,Counselors & Counseling Services,,,No,8322002,Counselors & Counseling Services,,,,,,,,,,,,,,,,,,,624190,Other Individual and Family Services,,,,,,,,,,,,,,,,,,,No,Up to 4,Private,No,Up to 999,,No,,,,,0,0,0,0,0,0,,,,0,0,Eric,Turpening,Educator,Male,Education,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,Professional,Professional,Professional,Professional,Professional,Professional,Professional,Professional,Professional,1.11325E+13,No,,,AtoZDatabases
AtoZDatabases,2/20/2020,8/20/2020,Efraim Padilla,Center For Health Care Service,1115 W Martin St,1115,W,Martin,St,,San Antonio,TX,78207,3005,Efraim Padilla,Efraim,,Padilla,Educator,Male,,,N/A,1115 W Martin St,1115,W,Martin,St,,San Antonio,TX,78207,3005,(210) 731-1300,N/A,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.430439,-98.5040524,,Counselors & Counseling Services,,,No,8322002,Counselors & Counseling Services,,,,,,,,,,,,,,,,,,,624190,Other Individual and Family Services,,,,,,,,,,,,,,,,,,,No,Up to 4,Private,No,Up to 999,,No,,,,,0,0,0,0,0,0,,,,0,0,Efraim,Padilla,Educator,Male,Education,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,Professional,Professional,Professional,Professional,Professional,Professional,Professional,Professional,Professional,1.11325E+13,No,,,AtoZDatabases
AtoZDatabases,2/20/2020,8/20/2020,Executive Home Care,,1131 Babcock Rd Ste 125,1131,,Babcock,Rd,,San Antonio,TX,78201,6944, ,,,,,,41,,"$1,856,135 ",1131 Babcock Rd Ste 125,1131,,Babcock,Rd,,San Antonio,TX,78201,6944,(210) 734-4343,N/A,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.484134,-98.557307,,Home Health Care Services,Branch,,No,8082001,Home Health Care Services,8082004,Home Managing Services,7363020,Medical Staff Relief,8059001,Nursing & Personal Care,8361001,Residential Care,8322001,Individual & Family Social Services,8322039,Homemakers Services,8322114,Elderly Companion Services,,,,,621610,Home Health Care Services,561320,Temporary Help Services,623110,Nursing Care Facilities (Skilled Nursing Facilities),623990,Other Residential Care Facilities,624190,Other Individual and Family Services,,,,,,,,,,,No,25 to 99,Private,Yes,"5,000 to 9,999",www.executivehomecare.com,No,2016,,,,0,1691827,1246609,979479,35.71,27.27,19,14,11,35.71,27.27,,,,,,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,"$25,000 to $99,999",,"$20,000 to $49,999",,"$25,000 to $99,999","$25,000 to $99,999","$25,000 to $99,999","$10,000 to $24,999","$20,000 to $49,999",1.114E+13,No,True Franchise,,AtoZDatabases
AtoZDatabases,2/20/2020,8/20/2020,Burned Out Survivors Fund,,1135 W Woodlawn Ave,1135,W,Woodlawn,Ave,,San Antonio,TX,78201,5732,Morris Munoz,Morris,,Munoz,Manager,Male,16,,N/A,PO Box 15185,15185,,PO Box,,,San Antonio,TX,78212,8385,(210) 472-1717,(210) 472-1543,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.45318,-98.513422,,Social Services,,,No,8399001,Social Services,8322064,Social Services & Welfare Organizations,,,,,,,,,,,,,,,,,813319,Other Social Advocacy Organizations,624190,Other Individual and Family Services,,,,,,,,,,,,,,,,,No,25 to 99,Private,No,"1,000 to 4,999",www.bosfund.org,No,1999,,,,0,2675429,2006572,2675429,33.33,-25,16,12,16,33.33,-25,Morris,Munoz,Manager,Male,Administration,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,"$5,000 to $24,999",,"$7,500 to $19,999",,"$10,000 to $24,999","$10,000 to $24,999","$10,000 to $24,999","$5,000 to $9,999","$7,500 to $19,999",1.11325E+13,No,,,AtoZDatabases
